hr,day_type,mean_cnt,median_cnt,high_rate,n
0,Non-working day,90.8,93.5,0.1565217391304348,230
0,Working day,36.78629032258065,33.0,0.004032258064516129,496
1,Non-working day,69.50869565217391,71.0,0.021739130434782608,230
1,Working day,16.55263157894737,14.0,0.0,494
2,Non-working day,53.171052631578945,54.0,0.0,228
2,Working day,8.683778234086242,7.0,0.0,487
3,Non-working day,25.77533039647577,25.0,0.0,227
3,Working day,4.9425531914893615,4.0,0.0,470
4,Non-working day,8.26431718061674,7.0,0.0,227
4,Working day,5.4297872340425535,5.0,0.0,470
5,Non-working day,8.68918918918919,7.0,0.0,222
5,Working day,24.913131313131313,25.0,0.0,495
6,Non-working day,18.74235807860262,16.0,0.0,229
6,Working day,102.5,104.0,0.1975806451612903,496
7,Non-working day,43.40692640692641,39.0,0.017316017316017316,231
7,Working day,290.61290322580646,295.0,0.8104838709677419,496
8,Non-working day,105.65367965367966,94.0,0.23376623376623376,231
8,Working day,477.00604838709677,463.0,0.9637096774193549,496
9,Non-working day,171.62337662337663,170.0,0.5844155844155844,231
9,Working day,241.51814516129033,228.0,0.8649193548387096,496
10,Non-working day,255.9090909090909,260.0,0.7532467532467533,231
10,Working day,135.36693548387098,133.0,0.4092741935483871,496
11,Non-working day,315.31601731601734,317.0,0.8268398268398268,231
11,Working day,158.2298387096774,157.0,0.5887096774193549,496
12,Non-working day,366.2597402597403,367.0,0.8831168831168831,231
12,Working day,200.8209255533199,201.0,0.7484909456740443,497
13,Non-working day,372.73160173160176,367.0,0.8787878787878788,231
13,Working day,198.429718875502,198.0,0.7248995983935743,498
14,Non-working day,364.64502164502164,361.0,0.8917748917748918,231
14,Working day,183.5722891566265,179.0,0.6827309236947792,498
15,Non-working day,358.8138528138528,361.0,0.8744588744588745,231
15,Working day,201.33132530120483,194.0,0.7208835341365462,498
16,Non-working day,352.72727272727275,356.0,0.8787878787878788,231
16,Working day,293.12224448897797,292.0,0.8176352705410822,499
17,Non-working day,323.54978354978357,322.0,0.8181818181818182,231
17,Working day,525.2905811623247,539.0,0.9619238476953907,499
18,Non-working day,281.05652173913046,276.5,0.7695652173913043,230
18,Working day,492.2269076305221,504.5,0.9518072289156626,498
19,Non-working day,231.67391304347825,232.0,0.6956521739130435,230
19,Working day,348.4016064257028,349.5,0.857429718875502,498
20,Non-working day,174.7391304347826,176.0,0.5652173913043478,230
20,Working day,249.71887550200802,248.0,0.7791164658634538,498
21,Non-working day,142.0608695652174,136.5,0.4782608695652174,230
21,Working day,186.2871485943775,190.0,0.6867469879518072,498
22,Non-working day,116.06086956521739,106.5,0.3521739130434783,230
22,Working day,138.38955823293173,137.0,0.4779116465863454,498
23,Non-working day,85.9304347826087,72.5,0.1782608695652174,230
23,Working day,88.70883534136546,81.0,0.1465863453815261,498
