,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,cnt,high_demand_flag
yr,1.0,-0.01,-0.004,0.007,-0.004,-0.002,-0.019,0.041,0.039,-0.084,-0.009,0.25,0.178
mnth,-0.01,1.0,-0.006,0.018,0.01,-0.003,0.005,0.202,0.208,0.164,-0.135,0.121,0.13
hr,-0.004,-0.006,1.0,0.0,-0.003,0.002,-0.02,0.138,0.134,-0.276,0.137,0.394,0.425
holiday,0.007,0.018,0.0,1.0,-0.102,-0.252,-0.017,-0.027,-0.031,-0.011,0.004,-0.031,-0.033
weekday,-0.004,0.01,-0.003,-0.102,1.0,0.036,0.003,-0.002,-0.009,-0.037,0.012,0.027,0.035
workingday,-0.002,-0.003,0.002,-0.252,0.036,1.0,0.045,0.055,0.055,0.016,-0.012,0.03,0.061
weathersit,-0.019,0.005,-0.02,-0.017,0.003,0.045,1.0,-0.103,-0.106,0.418,0.026,-0.142,-0.135
temp,0.041,0.202,0.138,-0.027,-0.002,0.055,-0.103,1.0,0.988,-0.07,-0.023,0.405,0.404
atemp,0.039,0.208,0.134,-0.031,-0.009,0.055,-0.106,0.988,1.0,-0.052,-0.062,0.401,0.403
hum,-0.084,0.164,-0.276,-0.011,-0.037,0.016,0.418,-0.07,-0.052,1.0,-0.29,-0.323,-0.322
windspeed,-0.009,-0.135,0.137,0.004,0.012,-0.012,0.026,-0.023,-0.062,-0.29,1.0,0.093,0.091
cnt,0.25,0.121,0.394,-0.031,0.027,0.03,-0.142,0.405,0.401,-0.323,0.093,1.0,0.759
high_demand_flag,0.178,0.13,0.425,-0.033,0.035,0.061,-0.135,0.404,0.403,-0.322,0.091,0.759,1.0
