temp_bin,hum_bin,mean_cnt,high_rate,n
<=0.20,<=0.30,91.90625,0.1875,32
<=0.20,0.30-0.50,65.95674300254453,0.11450381679389313,393
<=0.20,0.50-0.70,63.236111111111114,0.11666666666666667,360
<=0.20,0.70-0.90,64.16450216450217,0.12554112554112554,231
<=0.20,>0.90,58.7962962962963,0.1111111111111111,54
0.20-0.40,<=0.30,146.12254901960785,0.45098039215686275,204
0.20-0.40,0.30-0.50,163.76733013040493,0.47975291695264244,1457
0.20-0.40,0.50-0.70,118.24190894130554,0.2984092155787164,1823
0.20-0.40,0.70-0.90,100.94696441032798,0.2421493370551291,1433
0.20-0.40,>0.90,69.63409090909092,0.1340909090909091,440
0.40-0.60,<=0.30,308.2519379844961,0.7829457364341085,258
0.40-0.60,0.30-0.50,283.82406471183015,0.7997977755308392,989
0.40-0.60,0.50-0.70,213.25973106864828,0.5888181174805379,1413
0.40-0.60,0.70-0.90,149.432502596054,0.3904465212876428,1926
0.40-0.60,>0.90,88.05649717514125,0.2071563088512241,531
0.60-0.80,<=0.30,414.5660377358491,0.9748427672955975,159
0.60-0.80,0.30-0.50,380.33303167420814,0.92579185520362,1105
0.60-0.80,0.50-0.70,277.27893175074183,0.7477744807121661,2022
0.60-0.80,0.70-0.90,162.7589864466706,0.44490276959340014,1697
0.60-0.80,>0.90,92.86713286713287,0.2097902097902098,143
>0.80,<=0.30,373.5206611570248,0.9669421487603306,121
>0.80,0.30-0.50,328.6418918918919,0.9256756756756757,444
>0.80,0.50-0.70,282.34285714285716,0.7785714285714286,140
>0.80,0.70-0.90,172.25,0.75,4
>0.80,>0.90,,,0
